Data;Vazao;VazaoStatus;Unidades;MetodoObtencao;NivelConsistencia;CodigoEstacao;Responsavel
2021-12-05;146,5069;1.0;m³/s;1;2;41340000;ANA
2021-12-06;72,5561;1.0;m³/s;1;2;41340000;ANA
2021-12-07;149,0985;1.0;m³/s;1;2;41340000;ANA
2021-12-08;236,2262;1.0;m³/s;1;2;41340000;ANA
2021-12-09;140,5165;1.0;m³/s;1;2;41340000;ANA
2021-12-10;111,7994;1.0;m³/s;1;2;41340000;ANA
2021-12-11;89,6562;1.0;m³/s;1;2;41340000;ANA
2021-12-12;70,5012;1.0;m³/s;1;2;41340000;ANA
2021-12-13;54,7627;1.0;m³/s;1;2;41340000;ANA
2021-12-14;101,6804;1.0;m³/s;1;2;41340000;ANA
2021-12-15;157,8415;1.0;m³/s;1;2;41340000;ANA
2021-12-16;105,5359;1.0;m³/s;1;2;41340000;ANA
2021-12-17;158,7245;1.0;m³/s;1;2;41340000;ANA
2021-12-18;109,4371;1.0;m³/s;1;2;41340000;ANA
2021-12-19;85,999;1.0;m³/s;1;2;41340000;ANA
2021-12-20;71,869;1.0;m³/s;1;2;41340000;ANA
2021-12-21;73,2452;1.0;m³/s;1;2;41340000;ANA
2021-12-22;64,4511;1.0;m³/s;1;2;41340000;ANA
2021-12-23;57,9359;1.0;m³/s;1;2;41340000;ANA
2021-12-24;54,1349;1.0;m³/s;1;2;41340000;ANA
2021-12-25;96,3603;1.0;m³/s;1;2;41340000;ANA
2021-12-26;63,7896;1.0;m³/s;1;2;41340000;ANA
2021-12-27;51,0311;1.0;m³/s;1;2;41340000;ANA
2021-12-28;47,9865;1.0;m³/s;1;2;41340000;ANA
2021-12-29;45,5944;1.0;m³/s;1;2;41340000;ANA
2021-12-30;134,6068;1.0;m³/s;1;2;41340000;ANA
2021-12-31;67,7908;1.0;m³/s;1;2;41340000;ANA
2021-11-01;;43,2417;m³/s;1;2;41340000;ANA
2021-11-02;31,5701;;m³/s;1;2;41340000;ANA
2021-11-03;246,3302;1.0;m³/s;1;2;41340000;ANA
2021-11-04;94,1085;1.0;m³/s;1;2;41340000;ANA
2021-11-05;59,2211;1.0;m³/s;1;2;41340000;ANA
2021-11-06;45,5944;1.0;m³/s;1;2;41340000;ANA
2021-11-07;38,0966;1.0;m³/s;1;2;41340000;ANA
2021-11-08;33,1648;1.0;m³/s;1;2;41340000;ANA
2021-11-09;35,3297;1.0;m³/s;1;2;41340000;ANA
2021-11-10;56,0251;1.0;m³/s;1;2;41340000;ANA
2021-11-11;61,1658;1.0;m³/s;1;2;41340000;ANA
2021-11-12;91,8737;1.0;m³/s;1;2;41340000;ANA
2021-11-13;132,9332;1.0;m³/s;1;2;41340000;ANA
2021-11-14;116,5721;1.0;m³/s;1;2;41340000;ANA
2021-11-15;73,9365;1.0;m³/s;1;2;41340000;ANA
2021-11-16;52,8864;1.0;m³/s;1;2;41340000;ANA
2021-11-17;43,8262;1.0;m³/s;1;2;41340000;ANA
2021-11-18;38,6579;1.0;m³/s;1;2;41340000;ANA
2021-11-19;36,9818;1.0;m³/s;1;2;41340000;ANA
2021-11-20;51,6472;1.0;m³/s;1;2;41340000;ANA
2021-11-21;93,3616;1.0;m³/s;1;2;41340000;ANA
2021-11-22;111,7994;1.0;m³/s;1;2;41340000;ANA
2021-11-23;80,9617;1.0;m³/s;1;2;41340000;ANA
2021-11-24;56,0251;1.0;m³/s;1;2;41340000;ANA
2021-11-25;45,5944;1.0;m³/s;1;2;41340000;ANA
2021-11-26;36,9818;1.0;m³/s;1;2;41340000;ANA
2021-11-27;34,2418;1.0;m³/s;1;2;41340000;ANA
2021-11-28;68,4652;1.0;m³/s;1;2;41340000;ANA
2021-11-29;88,1875;1.0;m³/s;1;2;41340000;ANA
2021-11-30;55,3928;1.0;m³/s;1;2;41340000;ANA
2021-10-01;;26,94;m³/s;1;2;41340000;ANA
2021-10-02;23,5053;1.0;m³/s;1;2;41340000;ANA
2021-10-03;17,9791;1.0;m³/s;1;2;41340000;ANA
2021-10-04;62,4733;1.0;m³/s;1;2;41340000;ANA
2021-10-05;36,4284;1.0;m³/s;1;2;41340000;ANA
2021-10-06;24,4713;1.0;m³/s;1;2;41340000;ANA
2021-10-07;22,0798;1.0;m³/s;1;2;41340000;ANA
2021-10-08;23,5053;1.0;m³/s;1;2;41340000;ANA
2021-10-09;26,4402;1.0;m³/s;1;2;41340000;ANA
2021-10-10;22,0798;1.0;m³/s;1;2;41340000;ANA
2021-10-11;23,0269;1.0;m³/s;1;2;41340000;ANA
